Timestamp,Name,Email,Phone Number,Year (1 through 5),Current grade in class (0-100),Skill set [GoLang],"Skill set [Non-relational database (neo4J, NoSQL, MongoDB etc...)]",Skill set [Python],Skill set [Java],Skill set [Flask (Python Library)],Skill set [GitHub],Skill set [AWS],Skill set [JavaScript],Skill set [Racket],Skill set [Scala],Skill set [HTML/CSS],What is your availability? [Monday],What is your availability? [Tuesday],What is your availability? [Wednesday],What is your availability? [Thursday],What is your availability? [Friday],What is your availability? [Saturday],What is your availability? [Sunday],Project Type Interest (Check all that apply or none),Who would you prefer to work with? (email),Second person you would prefer to work with? (email) ,"If you're in a group, what is your group name? "
4/20/2019 16:27:43,Willy,willy@northeastern.edu,3333333333,3,75,Beginner,Not known,Intermediate,Beginner,Not known,Beginner,Not known,Not known,Intermediate,Not known,Beginner,"6pm - 8pm, 8pm - 10pm","2pm - 4pm, 6pm - 8pm, 8pm - 10pm","2pm - 4pm, 4pm - 6pm, 6pm - 8pm, 8pm - 10pm, 10pm onward","6pm - 8pm, 8pm - 10pm, 10pm onward",unavailable on that day,"6pm - 8pm, 8pm - 10pm, 10pm onward","6pm - 8pm, 8pm - 10pm, 10pm onward",Visualization,c@northeastern.edu,,
4/20/2019 16:28:41,Conny,conny@northeastern.edu,2222222222,3,88,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,"10am - 12pm, 12pm - 2pm, 2pm - 4pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm",Data Collection,willy@northeastern.edu,c@northeastern.edu,
4/20/2019 16:31:14,Reginald,reginald@wafflehouse.com,8476666666,4,89,Not known,Advanced,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,"8am - 10am, 8pm - 10pm","10am - 12pm, 6pm - 8pm","12pm - 2pm, 4pm - 6pm",2pm - 4pm,"12pm - 2pm, 4pm - 6pm","10am - 12pm, 6pm - 8pm","8am - 10am, 8pm - 10pm","Web App, Analysis",fluffbunny@hotmail.aol.com,tacotuesday@g.mail.com,
4/20/2019 16:39:20,Eli,eli@not.edu,2222222222,2,92,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,"10am - 12pm, 2pm - 4pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm","12pm - 2pm, 2pm - 4pm, 4pm - 6pm","2pm - 4pm, 4pm - 6pm, 6pm - 8pm","2pm - 4pm, 4pm - 6pm, 6pm - 8pm, 8pm - 10pm",10pm onward,10pm onward,Non-relational Database,lannister.t@husky.neu.edu,,
4/20/2019 16:40:19,Anan,an@north.edu,1111111111,1,82,Beginner,Intermediate,Advanced,Intermediate,Beginner,Not known,Beginner,Intermediate,Advanced,Intermediate,Beginner,10pm onward,10pm onward,10pm onward,10pm onward,10pm onward,"8am - 10am, 10am - 12pm, 12pm - 2pm, 2pm - 4pm","8am - 10am, 10am - 12pm, 12pm - 2pm, 2pm - 4pm",Data Collection,,,
4/20/2019 16:40:42,Jay,Roland,6173839138,4,75,Not known,Not known,Intermediate,Intermediate,Beginner,Not known,Not known,Intermediate,Beginner,Beginner,Intermediate,2pm - 4pm,10am - 12pm,2pm - 4pm,"12pm - 2pm, 2pm - 4pm",10am - 12pm,"12pm - 2pm, 4pm - 6pm",2pm - 4pm,Data Collection,,,
4/20/2019 16:41:22,salsa,salsa@northeastern.edu,0000000000,2,100,Intermediate,Beginner,Not known,Beginner,Advanced,Advanced,Advanced,Advanced,Beginner,Beginner,Not known,"12pm - 2pm, 6pm - 8pm, 8pm - 10pm","12pm - 2pm, 4pm - 6pm","12pm - 2pm, 4pm - 6pm, 6pm - 8pm, 10pm onward","12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm, 10pm onward","12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 10pm onward","12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 10pm onward","12pm - 2pm, 2pm - 4pm, 10pm onward",I do not care,,,
4/20/2019 16:41:48,Taylor,Smith@g.com,4082731893,2,60,Not known,Not known,Not known,Beginner,Not known,Beginner,Not known,Not known,Beginner,Not known,Beginner,"10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm","2pm - 4pm, 4pm - 6pm, 6pm - 8pm","2pm - 4pm, 4pm - 6pm, 6pm - 8pm","4pm - 6pm, 6pm - 8pm, 8pm - 10pm","2pm - 4pm, 4pm - 6pm, 6pm - 8pm","4pm - 6pm, 6pm - 8pm, 8pm - 10pm","4pm - 6pm, 6pm - 8pm",Web App,,,
4/20/2019 16:42:55,galit,gal@n.edu,1231231234,5,85,Not known,Not known,Not known,Beginner,Intermediate,Intermediate,Intermediate,Beginner,Beginner,Intermediate,Intermediate,"10am - 12pm, 4pm - 6pm, 10pm onward","10am - 12pm, 4pm - 6pm, 10pm onward","10am - 12pm, 4pm - 6pm, 10pm onward","10am - 12pm, 4pm - 6pm, 10pm onward","10am - 12pm, 4pm - 6pm, 10pm onward","10am - 12pm, 4pm - 6pm, 10pm onward","10am - 12pm, 4pm - 6pm, 10pm onward",Analysis,sasha@northeastern.edu,,
4/20/2019 16:42:59,Robert,Law,7186729348,3,90,Not known,Not known,Not known,Intermediate,Intermediate,Intermediate,Not known,Intermediate,Intermediate,Not known,Not known,4pm - 6pm,"10am - 12pm, 4pm - 6pm, 6pm - 8pm","12pm - 2pm, 4pm - 6pm, 6pm - 8pm","4pm - 6pm, 6pm - 8pm","10am - 12pm, 4pm - 6pm, 6pm - 8pm","12pm - 2pm, 4pm - 6pm, 6pm - 8pm","4pm - 6pm, 6pm - 8pm","Analysis, Visualization",,,
4/20/2019 16:43:50,Sasha,sasha@northeastern.edu,2342342345,2,93,Beginner,Beginner,Intermediate,Beginner,Beginner,Intermediate,Beginner,Beginner,Intermediate,Beginner,Intermediate,"10am - 12pm, 12pm - 2pm, 2pm - 4pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm","12pm - 2pm, 2pm - 4pm",2pm - 4pm,"10am - 12pm, 12pm - 2pm, 2pm - 4pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm",Analysis,gal@n.edu,,
4/20/2019 16:44:44,Luke,Porter@no.com,6719939373,2,70,Not known,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Not known,Beginner,Not known,Not known,2pm - 4pm,"12pm - 2pm, 4pm - 6pm",12pm - 2pm,2pm - 4pm,4pm - 6pm,"10am - 12pm, 4pm - 6pm",12pm - 2pm,Non-relational Database,,,
4/20/2019 16:46:02,Linda,Farland@g.com,6173993929,4,80,Not known,Not known,Not known,Intermediate,Intermediate,Beginner,Not known,Not known,Beginner,Not known,Not known,10am - 12pm,"2pm - 4pm, 4pm - 6pm",2pm - 4pm,12pm - 2pm,"4pm - 6pm, 6pm - 8pm",12pm - 2pm,"2pm - 4pm, 4pm - 6pm","Data Collection, Visualization",,,
4/20/2019 16:47:00,Franz Ferdinand,franz@gmail.com,5184277654,3,34,Beginner,Intermediate,Advanced,Intermediate,Beginner,Not known,Beginner,Intermediate,Advanced,Intermediate,Beginner,"8am - 10am, 10am - 12pm, 12pm - 2pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm","12pm - 2pm, 2pm - 4pm, 4pm - 6pm","2pm - 4pm, 4pm - 6pm, 6pm - 8pm",unavailable on that day,unavailable on that day,unavailable on that day,"Analysis, Visualization",magilla@gmail.com,shaggy@gmail.com,
4/20/2019 16:48:10,Magilla Gorilla,magilla@gmail.com,7777777737,2,12,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Advanced,"10am - 12pm, 12pm - 2pm, 2pm - 4pm","10am - 12pm, 2pm - 4pm, 4pm - 6pm","12pm - 2pm, 2pm - 4pm, 4pm - 6pm",2pm - 4pm,2pm - 4pm,2pm - 4pm,2pm - 4pm,"Data Collection, Visualization",franz@gmail.com,shaggy@gmail.com,
4/20/2019 16:49:34,Shaggy Jane,shaggy@gmail.com,5567677555,2,99,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,10am - 12pm,10am - 12pm,"10am - 12pm, 2pm - 4pm","10am - 12pm, 4pm - 6pm","10am - 12pm, 6pm - 8pm","10am - 12pm, 2pm - 4pm, 4pm - 6pm",10am - 12pm,"Web App, Visualization, Non-relational Database",franz@gmail.com,magilla@gmail.com,
4/20/2019 16:53:46,Tom Andjerry,cat@gmail.com,2345678901,4,69,Intermediate,Beginner,Beginner,Intermediate,Beginner,Not known,Beginner,Intermediate,Advanced,Advanced,Advanced,10am - 12pm,12pm - 2pm,2pm - 4pm,12pm - 2pm,2pm - 4pm,12pm - 2pm,10am - 12pm,"Analysis, Visualization",scooby@gmail.com,,
4/20/2019 16:56:15,Scooby Dooby Doo,scooby@gmail.com,34587621111,2,80,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Advanced,10am - 12pm,"8am - 10am, 10am - 12pm, 12pm - 2pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm, 8pm - 10pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm, 8pm - 10pm, 10pm onward","10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm, 8pm - 10pm","8am - 10am, 10am - 12pm, 12pm - 2pm",10am - 12pm,"Visualization, Non-relational Database",fred@aol.com,,
4/20/2019 16:57:57,Fred Astaire,fred@aol.com,9999999879,2,76,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,unavailable on that day,unavailable on that day,"10am - 12pm, 12pm - 2pm","8am - 10am, 10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm, 8pm - 10pm","8am - 10am, 10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm","10am - 12pm, 12pm - 2pm",Data Collection,scooby@gmail.com,,
4/20/2019 18:29:40,Connoror,con@n.edu,0980980987,3,87,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,10am - 12pm,"10am - 12pm, 12pm - 2pm, 2pm - 4pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm","12pm - 2pm, 2pm - 4pm","4pm - 6pm, 6pm - 8pm","2pm - 4pm, 4pm - 6pm, 6pm - 8pm, 8pm - 10pm","2pm - 4pm, 4pm - 6pm, 6pm - 8pm, 8pm - 10pm",I do not care,,,
